sqrtN_dJ_N32,sqrtN_dJ_N64,sqrtN_dJ_N128
-7.050000660638676420e-03,-3.161232692304227765e-03,-2.537322367529725679e-03
-3.992043612296160629e-03,1.684571096999085138e-03,1.435932744044202559e-03
-1.728531986279069213e-04,-3.629394657045842409e-03,1.389834119220918675e-03
2.031440046180383110e-03,-2.365921920726543615e-03,3.664671598893407076e-03
2.030632870862972544e-03,9.770750959128549074e-04,1.820293854739206017e-03
-8.110154009956983432e-04,-3.580497981485991632e-03,-4.091214033265022166e-04
-3.146364641175850279e-03,-3.603970675371229171e-03,-1.053658246312900266e-03
2.760682173008755739e-03,-1.649310069463810757e-03,-1.464390453360936992e-03
-4.847526654026727312e-03,-3.676764312618610586e-03,-1.853974401220320626e-03
-1.431836929251196740e-03,-3.520065538860833732e-03,-1.531935297933205561e-03
-2.440418621084545527e-03,-6.216122666112572359e-03,-2.848579458455137089e-03
-4.907358929055053928e-03,1.565137637296445949e-03,-1.523737351228187211e-03
-6.312129301605282940e-03,3.353787784848571984e-04,1.127042749795095777e-03
1.629311393231773790e-03,-1.188007421717568457e-03,2.617961300198205516e-03
1.515059098276094751e-03,-1.144348993758564914e-03,9.858954652578369015e-04
1.465390233125634040e-03,5.636276043285509685e-03,-6.363894132036065389e-04
-7.558648615266927960e-03,-4.766162453528940968e-03,-1.171433034845041068e-03
-3.671645913950386149e-03,-1.862251169015699537e-03,8.339995584792660697e-04
-7.241353191317686372e-03,-2.520300792590815520e-03,1.896863121766478996e-03
-3.604181824539189234e-03,-3.816970446690604035e-04,-1.717340409483051776e-03
-6.028472576836890534e-04,-4.548152202003566402e-03,-2.610224586583553830e-03
-2.729235349000230185e-03,-3.581897211370768663e-03,8.254311853832705347e-04
-3.087975777432611958e-04,-1.548672758379124326e-03,2.744431443686429911e-03
-2.415751197691431637e-03,-6.957140650193580078e-03,-1.285611693414317677e-02
-2.265753904565950046e-03,8.289621854049300520e-04,2.635951463078244680e-03
-4.718329074119922278e-03,-6.259664532266701054e-03,3.227729067539892010e-04
4.826683537422263282e-04,7.335452759566485348e-04,-3.831139881555402360e-03
-2.639454676206218903e-03,-1.026066397419705262e-02,-1.146870945399574735e-03
-1.838767320117808829e-03,-9.285835418048338230e-04,7.360465943346694443e-04
1.550618864241750999e-03,-9.580176075234120292e-04,-1.231812255680106308e-03
-1.795419380373142627e-03,-1.058597541956515786e-03,2.960835772282304824e-04
-7.546146588526071730e-03,-4.770311065533147654e-03,2.538748198232559667e-03
-4.147641629364703236e-03,-1.377427281238643997e-03,1.066030929796817593e-03
-1.657099976043516394e-03,-2.423711158237640273e-03,2.325867919489380160e-03
-9.737735526279286610e-03,9.821051134572267305e-04,-4.728522740569449274e-03
9.199093768904874650e-04,-3.810064293552919978e-03,-1.509996302635482207e-03
-1.829089497533745428e-03,-2.295148941756530725e-03,-2.381381885514683838e-03
-1.782109591870809345e-03,-7.706915649040128879e-03,-4.049426872625500246e-04
-1.958989200333470255e-03,-3.915710209318690183e-03,-4.697453345551941099e-03
2.708722510005217524e-03,-1.068934694042122935e-03,-2.962274299115569103e-03
5.157905488810657271e-04,-6.129203415052492110e-03,3.260774999344804529e-03
1.153251480313958197e-03,-6.912093372678368430e-04,-8.094838404979612162e-04
-3.449754272518283302e-03,-1.491117019611437611e-03,9.399583477532659910e-06
-6.948823816444263130e-04,4.014703554607298996e-03,1.061427400422483352e-03
1.100318708894395744e-03,2.692446616666344106e-03,-2.133592560486132893e-03
-5.986291734016829444e-03,2.384048055487641982e-03,1.175065154779773944e-03
-5.242401359567301113e-03,-1.312671434375620172e-03,3.346385338445377090e-03
-4.274407493136465723e-04,-1.674027396052699124e-03,-1.375625684213417372e-03
-2.575621730188670539e-03,-1.357393850228802434e-03,-3.512169149366539418e-03
1.801932641119461352e-03,6.498149380854412183e-04,2.083445652964033279e-03
1.071066939516892528e-03,-2.713510170086849693e-03,-9.134788050145871202e-04
-6.310379130720788869e-03,-1.698884336846659404e-03,1.372139887327003408e-03
1.983010989395378888e-03,-1.554215142638301628e-03,2.634563914722420127e-03
-9.288979421134336330e-04,-3.011157270488035165e-03,-2.027098136360779728e-04
1.634204981335116895e-03,-2.181058670968530344e-03,-3.557342101181480091e-03
3.623447436585445060e-05,-4.104738413659103635e-03,-6.853073401025858678e-03
-1.615080009109639333e-03,2.814292659399378338e-03,-3.376521200718320820e-03
-3.711045909886209401e-03,-1.147893929847751404e-03,2.712064347015977293e-03
2.240799133118863721e-04,2.959208977712665667e-03,-7.732666754623619253e-04
-8.351543977680574854e-03,-4.240831872409422942e-03,1.889890352685711121e-03
2.906112845926383387e-03,1.399047393201902079e-03,4.514294624778836598e-03
4.920394061500518029e-03,-3.927661126404011216e-03,1.699912934674705292e-03
7.218411829962994046e-04,-4.657554580960815427e-03,1.228549015036914426e-03
-3.464594797796095773e-03,-1.447359986805979437e-03,-1.280192326527950007e-04
1.839657033164474986e-04,4.364558498591852853e-04,-5.172307730856626207e-03
9.199585035635720427e-04,1.154420394445340725e-03,-2.965020294765587875e-03
-1.053143081857938623e-04,-4.258676365217164972e-03,-4.617268145878471522e-03
-2.305092001527087389e-03,-5.940013028549046004e-04,1.847965803055509702e-03
-1.193024143079295368e-03,-3.772471832033261196e-03,5.090866703126896431e-03
8.387402189716272171e-04,-1.685720277935245925e-03,-4.017354308716979822e-03
-1.345513845225422859e-03,-3.319833558900336934e-03,-1.751702514125854683e-03
3.319548452001020670e-03,-4.337511907662183752e-04,1.062874538042575881e-03
-4.668313699118406719e-03,2.648345778684391139e-05,-3.778870602197839917e-03
-1.289432305421440387e-03,-2.794041095465507607e-03,-2.090406101221441496e-04
-6.292305122614536353e-03,1.519907918643398359e-03,3.364630292778612300e-04
1.915332742176875083e-04,-1.201710179721436622e-02,4.714864185753666064e-04
-2.033345770168016806e-03,-1.296217349465195179e-03,-2.486238808722594524e-03
-2.508516196607835829e-04,-2.460580444338972272e-03,2.171915679268757084e-03
-1.781980023558721012e-03,1.356026012019034832e-03,1.699631367050342652e-03
-2.917555792528417954e-03,-2.524599053144505056e-03,-5.693910144080971923e-03
-1.872236973462354775e-03,-3.640124230200172950e-03,7.080954060860621862e-04
-6.635059591877162308e-03,5.624057132921495006e-04,-7.513520007026149722e-03
-2.525929473883729674e-03,2.192884241978984572e-03,-1.002496661770357770e-03
-7.272266880824843072e-04,-1.701559887960973905e-03,-3.684942338673325574e-03
1.454025137905827231e-03,2.371638121625704865e-03,1.324280500192804926e-04
-4.516375180232396272e-03,6.282975439289156805e-04,2.810444426337407376e-04
-4.851709305174053619e-03,4.840690361628680050e-04,-1.763738986349979983e-04
1.726778743470756849e-04,-3.531433964614028032e-03,-4.846362332016230373e-03
-2.156552780007726326e-03,1.724207061439358979e-03,3.138816762781744454e-03
1.229488762858233549e-03,-4.190043077292163187e-03,8.105675645592506223e-03
-1.127869679108445353e-03,2.607523821357191074e-03,-4.885989417865580550e-04
8.105923270447130957e-04,-6.885359376532368403e-04,-7.621599071440521636e-03
-6.311951914582487541e-03,-8.638011854932063638e-03,1.441503343754642601e-03
-7.703989547136331530e-03,-1.696636490256128726e-03,1.964632169835267821e-03
